# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-38-15-04-1-00-007|R2
22-38-15-04-2-00-006|R2
22-38-15-04-2-00-008|R2
22-38-15-04-3-00-009|R2
22-38-15-04-3-00-010|R2
22-38-15-04-3-00-018|R2
22-38-15-04-3-00-019|R2
22-38-15-04-3-00-020|R1
22-38-15-04-3-00-021|R2
22-38-15-04-3-00-022|R2
22-38-15-04-3-00-023|R1
22-38-15-04-3-00-024|R1
22-38-15-04-3-01-002|R2
22-38-15-04-4-00-012|R2
22-38-15-04-4-00-013|R2
22-38-15-04-4-00-014|R1
22-38-15-04-4-00-021|R2
22-38-15-04-4-01-001|R2
22-38-15-04-4-01-002|R2
22-38-15-05-1-00-002|R2
22-38-15-05-1-00-003|R2
22-38-15-05-1-00-005|R1
22-38-15-05-1-00-006|R2
22-38-15-05-2-00-004|R2
22-38-15-09-3-00-001|R1
22-38-15-09-3-00-002|R1
22-38-15-09-4-00-001|R1
22-38-15-16-1-00-001|R1
22-38-15-16-1-00-002|R1
22-38-16-05-1-00-006|R2
22-38-16-05-1-00-007|R1
22-38-16-05-1-00-008|R2
22-38-16-05-1-00-009|R1
22-38-16-05-1-00-010|R1
22-38-16-05-1-00-011|R1
22-38-16-05-1-00-012|R1
22-38-16-05-2-00-001|R1
22-38-16-05-2-00-002|R1
22-38-16-05-3-00-001|R2
22-38-16-05-3-00-002|R2
22-38-16-05-3-00-003|R1
22-38-16-05-3-00-004|R1
22-38-16-08-1-01-070|R1
22-38-16-08-1-03-001|PR
22-38-16-08-1-03-002|PR
22-38-16-08-1-03-003|PR
22-38-16-08-1-03-004|PR
22-38-16-08-1-03-005|PR
22-38-16-08-1-03-006|PR
22-38-16-08-1-03-007|PR
22-38-16-08-1-03-008|PR
22-38-16-08-1-03-009|PR
22-38-16-08-1-03-010|PR
22-38-16-08-1-03-011|PR
22-38-16-08-1-03-012|PR
22-38-16-08-1-03-013|PR
22-38-16-08-1-03-014|R1
